城市名,城市id,维度,经度,年度id
秦皇岛,148,48.297204199999996,133.1464433,130300
拉萨,100,34.373193,101.43656460000001,0
沧州,149,45.966067,130.0729774,130900
邢台,266,44.2379506,127.4743255,130500
遂宁,330,35.5113257,117.5537173,0
延边,54,52.669797599999995,144.1776778,0
唐山,265,47.8577115,131.5666386,130200
滨州,235,44.6719449,131.3352736,0
驻马店,269,38.7413557,126.93840119999999,0
徐州,316,40.3280836,130.5706672,320300
厦门,194,27.948505899999997,131.4652015,350200
张家口,264,49.5912469,127.9009915,130700
菏泽,353,41.7158419,128.5617136,0
乐山,79,34.256073199999996,115.5196413,0
洛阳,153,40.8844861,125.1912985,410300
许昌,155,40.1026702,126.74841939999999,0
韶关,137,28.3508687,126.4644994,440200
商丘,154,40.6101259,128.7566383,0
阜阳,128,38.5807113,128.9331837,0
廊坊,191,47.7236893,129.9005062,131000
茂名,139,24.559179399999998,123.49002859999999,440900
玉林,361,25.7442171,122.66142070000001,0
济宁,286,41.961475300000004,129.7930945,370800
大同,355,48.5017287,126.1335315,140200
湛江,198,24.093136299999998,122.8596433,440800
衡阳,159,30.914159599999998,125.3230619,430400
淮安,162,39.5351797,132.4966033,320800
漳州,255,27.9891077,130.9730662,350600
贵阳,146,30.608122,118.70885179999999,520100
鄂尔多斯,283,47.8259819,122.21600869999999,150600
辽阳,351,50.244559100000004,137.19578130000002,0
衡水,208,45.1708791,128.7723834,0
揭阳,259,26.8213969,129.5541643,0
呼和浩特,321,49.616586500000004,124.410367,150100
舟山,245,34.8085071,136.0498598,0
邯郸,151,43.6209584,127.5131979,130400
兰州,36,42.84497519999999,115.5961874,620100
柳州,305,27.7609362,121.8093166,450200
鹤壁,215,42.4144259,127.2440645,0
绵阳,240,36.7186449,116.5373732,510700
三亚,121,20.542884,121.91692570000001,460200
长春,53,54.0803728,139.5184248,220100
周口,308,39.5560511,127.6886667,0
潍坊,287,43.734257199999995,132.658808,370700
哈尔滨,48,57.186716,140.8679068,230100
南阳,309,38.7138171,125.2747618,411300
临沂,234,41.5410834,131.7625117,371300
桂林,142,28.917505,122.7827731,450300
南宁,261,25.939089,120.6419751,450100
清远,197,26.9814283,125.8621009,441800
东莞,119,26.184192999999997,126.6364609,441900
石家庄,150,45.5972444,127.4853899,130100
镇江,160,37.6604916,132.9519779,321100
海口,125,22.641815899999997,122.682565,460100
包头,229,49.3474935,122.28217869999999,0
盐城,223,39.1884925,133.7720696,320900
保定,307,46.774334,128.54318519999998,130600
天津,332,47.0750667,130.4744458,120000
台州,244,33.1205208,135.1733848,331000
烟台,326,44.785679900000005,135.20391890000002,370600
沈阳,58,51.0400577,137.4131313,210100
梅州,141,27.715740699999998,129.2758168,0
乌鲁木齐,92,54.097326100000004,97.54288849999999,650100
汕头,303,26.5843229,129.8987235,440500
咸阳,323,40.4963047,121.0230935,610400
西安,233,40.5121902,121.27979300000001,610100
大连,167,46.8303035,135.3897863,210200
肇庆,338,26.2154492,125.204364,441200
成都,75,35.5590748,115.8528082,510100
贵港,341,26.294793199999997,122.0121144,0
深圳,340,25.6097731,126.97919689999999,440300
淄博,354,43.8808746,131.4266164,370300
合肥,127,37.1786548,130.5073225,340100
新乡,152,41.810231800000004,126.8314043,410700
绍兴,293,34.866610800000004,134.2379315,330600
广州,257,26.3145058,126.093842,440100
大理,111,29.3249173,111.62596939999999,0
昆明,104,28.435996099999997,114.48183929999999,530100
宁波,180,34.6667515,135.31775580000001,330200
重庆,132,34.2724419,118.62018460000002,500000
遵义,262,31.951313,119.039299,0
南昌,163,33.1525529,128.98120550000002,360100
青岛,236,42.8518934,134.0183754,370200
无锡,317,36.7489625,133.9399044,320200
丽水,292,32.8818106,133.5063644,0
泉州,134,28.4290263,132.1179877,350500
太原,176,45.3556928,125.29930900000001,140100
长沙,158,32.5810627,125.7315372,430100
福州,300,29.9009274,132.8088683,350100
常州,348,37.1655152,133.5627365,320400
武汉,218,35.5875728,127.2527329,420100
南通,161,37.3853115,134.587064,320600
西宁,66,43.61026150000001,113.3069632,630100
佛山,138,26.185047400000002,125.9353651,440600
开封,210,41.125200299999996,127.2550405,0
中山,187,25.578315099999998,126.2365884,442000
温州,178,32.2886844,134.370621,330300
郑州,268,41.0584827,126.4952159,410100
云浮,258,26.0569521,124.7360095,0
嘉兴,334,35.7839442,134.43315619999998,330400
泰安,325,43.035165899999996,130.3508564,370900
